"Categoria","Nombre","Descripcion"
"HAMBURGUESAS","CLASSIC","Cheddar, Carne, Cheddar. INCLUYE PAPAS"
"HAMBURGUESAS","DUKO","Cheddar, Panceta, Salsa CUARTO (INCLUYE PAPAS)."
"HAMBURGUESAS","CHARLY","Cheddar, Cebolla y Salsa Cuarto. (INCLUYE PAPAS)."
"HAMBURGUESAS","MALA FAMA","Cheddar, Panceta, Huevo, Cebolla Caramelizada, Salsa Barbacoa. (INCLUYE PAPAS)."
"HAMBURGUESAS","HC (Hernán Cattáneo)","Cebolla Crispy, Panceta Picada, Doble Cheddar y Salsa Tasty. (INCLUYE PAPAS)."
"HAMBURGUESAS","RESIDENTE","Pan de Queso, Provoleta, Queso Dambo, Cebolla Crispy, Salsa Sweet Chili (Picante Dulce). (INCLUYE PAPAS)."
"HAMBURGUESAS","BOB MARLEY","cheddar + salsa guacamole. (INCLUYE PAPAS)"
"HAMBURGUESAS","KISS","Pan de queso, morrones asados, huevo, cheddar y salsa tasty. (INCLUYE PAPAS)"
"HAMBURGUESAS","ROLLING STONES","Cheddar, Cebolla y Morrón Salteados, Salsa Especial. (INCLUYE PAPAS)."
"HAMBURGUESAS","RED HOT","Cheddar, lechuga, tomate, jamon, salsa especial (INCLUYE PAPAS)"
"HAMBURGUESAS","THE BEATLES","Cheddar, Cebolla Morada, Pepinos, Lechuga, Tomate, Salsa ""Big Mac"". (INCLUYE PAPAS)."
"HAMBURGUESAS","AC/DC","Cheddar, Cebolla Crispy, Panceta, Salsa Barbacoa. (INCLUYE PAPAS)."
"HAMBURGUESAS","FRIED ONION","Homenaje a George Motz: Carne Smasheada con Cebolla, Doble Cheddar por Medallón, Mayonesa y Ketchup. (INCLUYE PAPAS)."
"HAMBURGUESAS","TECHNO CHICKEN","medallon de pollo, cheddar, lechuga, tomate, cebolla, salsa bigmac. (INCLUYE PAPAS)."
"HAMBURGUESAS","GORILLAZ","Aros de cebolla, panceta, doble Cheddar, salsa cuarto. (INCLUYE PAPAS)."
"HAMBURGUESAS","MADONNA Veggie","Medallon veggie a eleccion + Queso, cebolla crispy, tomate, mayonesa not co. (INCLUYE PAPAS)."
"HAMBURGUESAS","PATRICIO REY","Queso Provoleta + oregano, salsa criolla. (INCLUYE PAPAS)."
"HAMBURGUESAS","ALMA FUERTE pulled pork","Sandwich de bondiola desmenuzada con Pan de Pizza + cheddar + barbacoa + Papas fritas"
"HAMBURGUESAS","BIZARRAP Session #1","Medallon de pollo crunch, doble cheddar, panceta, salsa barbacoa. (INCLUYE PAPAS)."
"HAMBURGUESAS","BIZARRAP Session #2","Medallón de pollo crunch, cheddar,tomate,lechuga,cebolla y mostaza dulce. (INCLUYE PAPAS)."
"HAMBURGUESAS","Eminem","doble smash, croissant,doble cheddar y panceta"
"HAMBURGUESAS","KIDS ROCK (menu infantil)","4 unidades Ricosaurios de pollo + Papas individuales"
"PARA ACOMPAÑAR","Papas QUEEN","Cheddar, panceta + verdeo (porcion para 2 personas)"
"PARA ACOMPAÑAR","Papas Cheddar","Papas Baston con Cheddar"
"PARA ACOMPAÑAR","Papas MERCURY","Papas fritas, bondiola de cerdo desmenuzada, barbacoa y verdeo"
"PARA ACOMPAÑAR","Aros de cebolla + papas","Aros de cebolla 12u"
"PARA ACOMPAÑAR","Nuggets de pollo + papas","Nuggets de pollo 12u + papas + dip de barbacoa"
"PICADAS BEAT","FREESTYLE","Papas fritas + Aros de cebolla + Nuggets + Finger de pollo. 4 salsas a eleccion"
"ENSALADAS POP / MENU SALUDABLE","RIHANNA","lechuga, pollo, crutones, queso, aderezo cesar"
"ENSALADAS POP / MENU SALUDABLE","LADY GAGA","rucula, tomate cherry, pollo crunch, queso. Deep de aderezo especial"
"POSTRES","Franui","Frambuesas bañadas con chocolate"
"TOSTADOS","tostado americano + levite","tostado de panceta huevo y queso cheddar"
"TOSTADOS","tostado clasico + levite","tostado de jamon y queso"
"TOSTADOS","X2 tostado americano","2 unidades de tostado de panceta huevo y queso cheddar"
"TOSTADOS","X2 tostado clasico","2 unidades de tostado de jamon y queso"
"BEBIDAS","villavicencio 500cc",""
"BEBIDAS","Coca Cola 1.5 lts",""
"BEBIDAS","Coca Cola Zero 1.5 Lts",""
"BEBIDAS","SpriTe 1.5 lts",""
"BEBIDAS","lata Sprite 354cc",""
"BEBIDAS","lata Coca-Cola 354cc",""
"BEBIDAS","Levite de naranja 500ml",""
"BEBIDAS","Levite de manzana 500ml",""
"BEBIDAS","Levite de pomelo 500ml",""
"BEBIDAS","Levite de pomelo 1,5lt",""
"BEBIDAS","Levite de manzana 1.5 lts",""
"BEBIDAS","Cerveza Heineken Lata 473cc",""
"BEBIDAS","Andes Rubia Lata 473cc",""
"BEBIDAS","Andes IPA Lata 473cc",""
"BEBIDAS","Stella artois lata",""
"BEBIDAS","Lata Schweppes Pomelo Zero",""
